,LATITUDE,LONGITUDE
0,30.39988,-97.38191
1,30.40918,-97.38663
2,30.40311373,-97.38977638
3,30.42011,-97.39057
4,30.41618,-97.39108
5,30.38466,-97.39149
6,30.37109,-97.39245
7,30.38294,-97.39272
8,30.37201,-97.40044
9,30.38748,-97.40382
10,30.3523,-97.40939
11,30.35192,-97.40952
12,30.41322,-97.41155
13,30.39098,-97.41586
14,30.39067,-97.41605
15,30.35048,-97.41612
16,30.3571,-97.41735
17,30.35405,-97.41794
18,30.38329492,-97.4181486
19,30.36517415,-97.41871082
20,30.35545,-97.4195
21,30.35645,-97.42052
22,30.42904,-97.42065
23,30.36876,-97.42226
24,30.352,-97.42407
25,30.35047,-97.42809
26,30.35016,-97.42834
27,30.35034,-97.42848
28,30.35058387,-97.42865014
29,30.34930487,-97.42920894
30,30.34934,-97.42937
31,30.34805,-97.42951
32,30.34946,-97.42971
33,30.3513,-97.4299
34,30.35140906,-97.42996762
35,30.3513,-97.43005
36,30.3467,-97.43014
37,30.35108,-97.43036
38,30.34675,-97.43039
39,30.35074,-97.43049
40,30.35012,-97.43071
41,30.34755,-97.43086
42,30.4486,-97.4309
43,30.34666,-97.4313
44,30.34752,-97.43136
45,30.35123,-97.43147
46,30.34733,-97.43185
47,30.34594687,-97.43204748
48,30.34914,-97.43279
49,30.3497,-97.4328
50,30.34777,-97.43308
51,30.35051,-97.43313
52,30.34875,-97.43319
53,30.34775,-97.43323
54,30.35108,-97.43349
55,30.34878,-97.43362
56,30.35044,-97.43372
57,30.3519,-97.43383
58,30.34829,-97.43408
59,30.34608,-97.43424
60,30.34793,-97.43464
61,30.34676498,-97.43467861
62,30.31945,-97.43485
63,30.34473,-97.43533
64,30.34863604,-97.43534042
65,30.34586,-97.43545
66,30.34762,-97.43558
67,30.34861,-97.43604
68,30.3476,-97.4365
69,30.34291,-97.43653
70,30.34758,-97.43698
71,30.34295,-97.43704
72,30.41849,-97.4371
73,30.34305,-97.43725
74,30.34345,-97.43754
75,30.38535,-97.43837
76,30.31925,-97.44398
77,30.3373,-97.44401
78,30.33716,-97.44414
79,30.31928084,-97.4467579
80,30.32108,-97.44714
81,30.32109,-97.44745
82,30.31987,-97.44761
83,30.31999,-97.44829
84,30.28935,-97.44993
85,30.28942059,-97.45009593
86,30.28962,-97.45024
87,30.35058,-97.4506
88,30.34108,-97.45164
89,30.31039,-97.45178
90,30.34825,-97.45208
91,30.36495,-97.45238
92,30.28464,-97.453
93,30.28415,-97.45388
94,30.36676,-97.45614
95,30.2778,-97.45628
96,30.27752,-97.45642
97,30.27457,-97.45692
98,30.35083,-97.45693
99,30.45262,-97.45703
100,30.35132019,-97.45704076
101,30.27434,-97.45715
102,30.27852,-97.45719
103,30.27444,-97.45721
104,30.30139,-97.45778
105,30.36505978,-97.45929052
106,30.40838963,-97.45965313
107,30.26743551,-97.45983043
108,30.27355,-97.46038
109,30.28981,-97.46054
110,30.26806,-97.46059
111,30.27537,-97.46119
112,30.27695,-97.46121
113,30.279,-97.46151
114,30.27878,-97.46154
115,30.27932,-97.46155
116,30.27505,-97.46158
117,30.40648,-97.46172
118,30.27062,-97.46173
119,30.27515,-97.46177
120,30.26357,-97.46183
121,30.27505,-97.46183
122,30.27905,-97.46211
123,30.26316,-97.46215
124,30.26351,-97.46217
125,30.26796,-97.46257
126,30.27038,-97.46257
127,30.36266,-97.46278
128,30.2787,-97.46279
129,30.27276235,-97.463286
130,30.2592,-97.46365
131,30.40934,-97.4637
132,30.34289,-97.46407
133,30.29113,-97.46412
134,30.27274,-97.46419
135,30.35569,-97.46447
136,30.3587,-97.4649
137,30.40068,-97.46495
138,30.40068,-97.46495
139,30.40143,-97.46552
140,30.40134,-97.46632
141,30.27139,-97.46649
142,30.34571,-97.46652
143,30.46588,-97.46657
144,30.26681,-97.46659
145,30.25405,-97.46681
